starred_at,user,user_url,star_number,minute,previous_starred_at,seconds_since_previous
2026-05-18 07:30:04+00:00,milfhubgit,https://github.com/milfhubgit,96,2026-05-18 07:30:00+00:00,2026-05-18 07:15:11+00:00,893.0
2026-05-18 07:33:13+00:00,rlespinasse,https://github.com/rlespinasse,97,2026-05-18 07:33:00+00:00,2026-05-18 07:30:04+00:00,189.0
2026-05-18 07:37:27+00:00,diptho123,https://github.com/diptho123,98,2026-05-18 07:37:00+00:00,2026-05-18 07:33:13+00:00,254.0
2026-05-18 07:40:48+00:00,egorgar05331364-lab,https://github.com/egorgar05331364-lab,99,2026-05-18 07:40:00+00:00,2026-05-18 07:37:27+00:00,201.0
2026-05-18 08:08:24+00:00,kotarotaniguchi0523,https://github.com/kotarotaniguchi0523,100,2026-05-18 08:08:00+00:00,2026-05-18 07:40:48+00:00,1656.0
2026-05-18 08:23:17+00:00,nozomi-koborinai,https://github.com/nozomi-koborinai,101,2026-05-18 08:23:00+00:00,2026-05-18 08:08:24+00:00,893.0
2026-05-18 09:49:34+00:00,takachino,https://github.com/takachino,102,2026-05-18 09:49:00+00:00,2026-05-18 08:23:17+00:00,5177.0
2026-05-18 10:55:41+00:00,aileot,https://github.com/aileot,103,2026-05-18 10:55:00+00:00,2026-05-18 09:49:34+00:00,3967.0
2026-05-18 10:58:32+00:00,anamuratova,https://github.com/anamuratova,104,2026-05-18 10:58:00+00:00,2026-05-18 10:55:41+00:00,171.0
2026-05-18 12:10:11+00:00,ronnnnn,https://github.com/ronnnnn,105,2026-05-18 12:10:00+00:00,2026-05-18 10:58:32+00:00,4299.0
2026-05-18 13:11:46+00:00,kyong0612,https://github.com/kyong0612,106,2026-05-18 13:11:00+00:00,2026-05-18 12:10:11+00:00,3695.0
2026-05-18 13:15:56+00:00,ohakutsu,https://github.com/ohakutsu,107,2026-05-18 13:15:00+00:00,2026-05-18 13:11:46+00:00,250.0
2026-05-18 13:19:53+00:00,hayato-osh,https://github.com/hayato-osh,108,2026-05-18 13:19:00+00:00,2026-05-18 13:15:56+00:00,237.0
2026-05-18 13:29:48+00:00,endoumame,https://github.com/endoumame,109,2026-05-18 13:29:00+00:00,2026-05-18 13:19:53+00:00,595.0
2026-05-18 14:15:13+00:00,shrek-kurata,https://github.com/shrek-kurata,110,2026-05-18 14:15:00+00:00,2026-05-18 13:29:48+00:00,2725.0
2026-05-18 14:16:41+00:00,0xTadash1,https://github.com/0xTadash1,111,2026-05-18 14:16:00+00:00,2026-05-18 14:15:13+00:00,88.0
2026-05-18 14:33:56+00:00,sasaken555,https://github.com/sasaken555,112,2026-05-18 14:33:00+00:00,2026-05-18 14:16:41+00:00,1035.0
2026-05-18 15:00:01+00:00,shunk031,https://github.com/shunk031,113,2026-05-18 15:00:00+00:00,2026-05-18 14:33:56+00:00,1565.0
2026-05-18 15:14:09+00:00,chktkd,https://github.com/chktkd,114,2026-05-18 15:14:00+00:00,2026-05-18 15:00:01+00:00,848.0
2026-05-18 15:38:28+00:00,malanjp,https://github.com/malanjp,115,2026-05-18 15:38:00+00:00,2026-05-18 15:14:09+00:00,1459.0
2026-05-18 15:47:55+00:00,hita-hita-hita,https://github.com/hita-hita-hita,116,2026-05-18 15:47:00+00:00,2026-05-18 15:38:28+00:00,567.0
2026-05-18 15:54:26+00:00,tonarinohey,https://github.com/tonarinohey,117,2026-05-18 15:54:00+00:00,2026-05-18 15:47:55+00:00,391.0
2026-05-18 16:37:00+00:00,aiotter,https://github.com/aiotter,118,2026-05-18 16:37:00+00:00,2026-05-18 15:54:26+00:00,2554.0
2026-05-18 16:37:11+00:00,akiomik,https://github.com/akiomik,119,2026-05-18 16:37:00+00:00,2026-05-18 16:37:00+00:00,11.0
2026-05-18 17:03:37+00:00,ys2GFyjd4dgit,https://github.com/ys2GFyjd4dgit,120,2026-05-18 17:03:00+00:00,2026-05-18 16:37:11+00:00,1586.0
2026-05-18 17:30:27+00:00,RinSUGI,https://github.com/RinSUGI,121,2026-05-18 17:30:00+00:00,2026-05-18 17:03:37+00:00,1610.0
2026-05-18 19:22:09+00:00,nonnil,https://github.com/nonnil,122,2026-05-18 19:22:00+00:00,2026-05-18 17:30:27+00:00,6702.0
2026-05-18 19:32:52+00:00,HiroshigeAoki,https://github.com/HiroshigeAoki,123,2026-05-18 19:32:00+00:00,2026-05-18 19:22:09+00:00,643.0
2026-05-18 19:35:47+00:00,chalkygames123,https://github.com/chalkygames123,124,2026-05-18 19:35:00+00:00,2026-05-18 19:32:52+00:00,175.0
2026-05-18 19:47:26+00:00,SPICKEY0965,https://github.com/SPICKEY0965,125,2026-05-18 19:47:00+00:00,2026-05-18 19:35:47+00:00,699.0
2026-05-18 21:21:41+00:00,tgfjt,https://github.com/tgfjt,126,2026-05-18 21:21:00+00:00,2026-05-18 19:47:26+00:00,5655.0
2026-05-18 21:30:44+00:00,mattyatea,https://github.com/mattyatea,127,2026-05-18 21:30:00+00:00,2026-05-18 21:21:41+00:00,543.0
2026-05-18 22:10:20+00:00,Ryu0118,https://github.com/Ryu0118,128,2026-05-18 22:10:00+00:00,2026-05-18 21:30:44+00:00,2376.0
2026-05-18 22:17:28+00:00,enleur,https://github.com/enleur,129,2026-05-18 22:17:00+00:00,2026-05-18 22:10:20+00:00,428.0
2026-05-18 22:20:02+00:00,kayahara-yuki,https://github.com/kayahara-yuki,130,2026-05-18 22:20:00+00:00,2026-05-18 22:17:28+00:00,154.0
2026-05-18 22:34:48+00:00,khirotaka,https://github.com/khirotaka,131,2026-05-18 22:34:00+00:00,2026-05-18 22:20:02+00:00,886.0
2026-05-18 22:40:00+00:00,time-and-rice,https://github.com/time-and-rice,132,2026-05-18 22:40:00+00:00,2026-05-18 22:34:48+00:00,312.0
2026-05-18 22:43:45+00:00,keufcp,https://github.com/keufcp,133,2026-05-18 22:43:00+00:00,2026-05-18 22:40:00+00:00,225.0
2026-05-18 22:57:41+00:00,ykoyano,https://github.com/ykoyano,134,2026-05-18 22:57:00+00:00,2026-05-18 22:43:45+00:00,836.0
2026-05-18 23:36:59+00:00,kazuhideoki,https://github.com/kazuhideoki,135,2026-05-18 23:36:00+00:00,2026-05-18 22:57:41+00:00,2358.0
2026-05-18 23:45:47+00:00,ytoune,https://github.com/ytoune,136,2026-05-18 23:45:00+00:00,2026-05-18 23:36:59+00:00,528.0
2026-05-18 23:52:48+00:00,kaznak,https://github.com/kaznak,137,2026-05-18 23:52:00+00:00,2026-05-18 23:45:47+00:00,421.0
2026-05-19 00:04:13+00:00,midasdf,https://github.com/midasdf,138,2026-05-19 00:04:00+00:00,2026-05-18 23:52:48+00:00,685.0
2026-05-19 00:12:55+00:00,himkt,https://github.com/himkt,139,2026-05-19 00:12:00+00:00,2026-05-19 00:04:13+00:00,522.0
2026-05-19 00:12:59+00:00,gentamura,https://github.com/gentamura,140,2026-05-19 00:12:00+00:00,2026-05-19 00:12:55+00:00,4.0
2026-05-19 00:14:21+00:00,phoorichet,https://github.com/phoorichet,141,2026-05-19 00:14:00+00:00,2026-05-19 00:12:59+00:00,82.0
2026-05-19 00:16:58+00:00,fan-k-tamura,https://github.com/fan-k-tamura,142,2026-05-19 00:16:00+00:00,2026-05-19 00:14:21+00:00,157.0
2026-05-19 00:29:56+00:00,tab4moji,https://github.com/tab4moji,143,2026-05-19 00:29:00+00:00,2026-05-19 00:16:58+00:00,778.0
2026-05-19 00:44:13+00:00,halqme,https://github.com/halqme,144,2026-05-19 00:44:00+00:00,2026-05-19 00:29:56+00:00,857.0
2026-05-19 00:48:41+00:00,simorgh3196,https://github.com/simorgh3196,145,2026-05-19 00:48:00+00:00,2026-05-19 00:44:13+00:00,268.0
2026-05-19 00:50:20+00:00,wangchangdog,https://github.com/wangchangdog,146,2026-05-19 00:50:00+00:00,2026-05-19 00:48:41+00:00,99.0
2026-05-19 00:55:42+00:00,homemade-ramen,https://github.com/homemade-ramen,147,2026-05-19 00:55:00+00:00,2026-05-19 00:50:20+00:00,322.0
2026-05-19 01:23:13+00:00,sh1nduu,https://github.com/sh1nduu,148,2026-05-19 01:23:00+00:00,2026-05-19 00:55:42+00:00,1651.0
2026-05-19 01:24:10+00:00,hiono,https://github.com/hiono,149,2026-05-19 01:24:00+00:00,2026-05-19 01:23:13+00:00,57.0
2026-05-19 01:43:56+00:00,hiro0218,https://github.com/hiro0218,150,2026-05-19 01:43:00+00:00,2026-05-19 01:24:10+00:00,1186.0
2026-05-19 02:49:45+00:00,nu0ma,https://github.com/nu0ma,151,2026-05-19 02:49:00+00:00,2026-05-19 01:43:56+00:00,3949.0
2026-05-19 05:43:23+00:00,ykpythemind,https://github.com/ykpythemind,152,2026-05-19 05:43:00+00:00,2026-05-19 02:49:45+00:00,10418.0
2026-05-19 05:49:16+00:00,Priestly,https://github.com/Priestly,153,2026-05-19 05:49:00+00:00,2026-05-19 05:43:23+00:00,353.0
2026-05-19 05:59:47+00:00,beauNate,https://github.com/beauNate,154,2026-05-19 05:59:00+00:00,2026-05-19 05:49:16+00:00,631.0
2026-05-19 06:59:04+00:00,ftnext,https://github.com/ftnext,155,2026-05-19 06:59:00+00:00,2026-05-19 05:59:47+00:00,3557.0
2026-05-19 07:40:39+00:00,sakebook,https://github.com/sakebook,156,2026-05-19 07:40:00+00:00,2026-05-19 06:59:04+00:00,2495.0
2026-05-19 07:49:03+00:00,jackchuka,https://github.com/jackchuka,157,2026-05-19 07:49:00+00:00,2026-05-19 07:40:39+00:00,504.0
2026-05-19 09:37:23+00:00,exoego,https://github.com/exoego,158,2026-05-19 09:37:00+00:00,2026-05-19 07:49:03+00:00,6500.0
2026-05-19 09:40:19+00:00,ryo246912,https://github.com/ryo246912,159,2026-05-19 09:40:00+00:00,2026-05-19 09:37:23+00:00,176.0
2026-05-19 09:40:37+00:00,toliner,https://github.com/toliner,160,2026-05-19 09:40:00+00:00,2026-05-19 09:40:19+00:00,18.0
2026-05-19 09:41:38+00:00,sohag1234539,https://github.com/sohag1234539,161,2026-05-19 09:41:00+00:00,2026-05-19 09:40:37+00:00,61.0
2026-05-19 09:41:46+00:00,anadvv,https://github.com/anadvv,162,2026-05-19 09:41:00+00:00,2026-05-19 09:41:38+00:00,8.0
2026-05-19 09:42:39+00:00,fari098,https://github.com/fari098,163,2026-05-19 09:42:00+00:00,2026-05-19 09:41:46+00:00,53.0
2026-05-19 09:43:04+00:00,bmorium093-hash,https://github.com/bmorium093-hash,164,2026-05-19 09:43:00+00:00,2026-05-19 09:42:39+00:00,25.0
2026-05-19 09:46:21+00:00,samiulislam20161-tech,https://github.com/samiulislam20161-tech,165,2026-05-19 09:46:00+00:00,2026-05-19 09:43:04+00:00,197.0
2026-05-19 09:46:41+00:00,fasahinaya-commits,https://github.com/fasahinaya-commits,166,2026-05-19 09:46:00+00:00,2026-05-19 09:46:21+00:00,20.0
2026-05-19 09:48:09+00:00,era690862,https://github.com/era690862,167,2026-05-19 09:48:00+00:00,2026-05-19 09:46:41+00:00,88.0
2026-05-19 09:48:15+00:00,shpolash578-rgb,https://github.com/shpolash578-rgb,168,2026-05-19 09:48:00+00:00,2026-05-19 09:48:09+00:00,6.0
2026-05-19 09:50:24+00:00,HikaruEgashira,https://github.com/HikaruEgashira,169,2026-05-19 09:50:00+00:00,2026-05-19 09:48:15+00:00,129.0
2026-05-19 10:00:35+00:00,billkley1802,https://github.com/billkley1802,170,2026-05-19 10:00:00+00:00,2026-05-19 09:50:24+00:00,611.0
2026-05-19 10:03:01+00:00,d4rw1nz,https://github.com/d4rw1nz,171,2026-05-19 10:03:00+00:00,2026-05-19 10:00:35+00:00,146.0
2026-05-19 10:13:08+00:00,ToymurDeveloper,https://github.com/ToymurDeveloper,172,2026-05-19 10:13:00+00:00,2026-05-19 10:03:01+00:00,607.0
2026-05-19 10:19:01+00:00,xiaozi,https://github.com/xiaozi,173,2026-05-19 10:19:00+00:00,2026-05-19 10:13:08+00:00,353.0
2026-05-19 10:19:32+00:00,Wintus,https://github.com/Wintus,174,2026-05-19 10:19:00+00:00,2026-05-19 10:19:01+00:00,31.0
2026-05-19 10:29:02+00:00,Ota1022,https://github.com/Ota1022,175,2026-05-19 10:29:00+00:00,2026-05-19 10:19:32+00:00,570.0
2026-05-19 10:29:27+00:00,nazih987,https://github.com/nazih987,176,2026-05-19 10:29:00+00:00,2026-05-19 10:29:02+00:00,25.0
2026-05-19 10:30:15+00:00,zzvo,https://github.com/zzvo,177,2026-05-19 10:30:00+00:00,2026-05-19 10:29:27+00:00,48.0
2026-05-19 10:51:46+00:00,JasonYang0104,https://github.com/JasonYang0104,178,2026-05-19 10:51:00+00:00,2026-05-19 10:30:15+00:00,1291.0
